gene,H2O_30m_A,H2O_30m_B,H2O_30m_C,PNA79_30m_A,PNA79_30m_B,PNA79_30m_C,PNAscr_30m_A,PNAscr_30m_B,PNAscr_30m_C,H2O_16h_A,H2O_16h_B,H2O_16h_C,PNA79_16h_A,PNA79_16h_B,PNA79_16h_C,PNAscr_16h_A,PNAscr_16h_B,PNAscr_16h_C
cds-C4N14_08705,10,14,21,20,20,47,35,19,37,9,4,19,18,12,11,21,14,26
cds-C4N14_08710,53,147,91,73,143,105,150,93,116,42,34,53,92,117,69,45,60,70
cds-C4N14_08715,383,625,488,346,606,403,654,390,530,679,638,860,1016,1302,940,513,564,491
cds-C4N14_08720,104,163,199,151,227,148,235,154,171,536,556,624,649,698,447,269,241,257
cds-C4N14_08725,72,88,106,58,124,55,90,67,104,1129,931,1168,1395,1473,877,438,428,413
cds-C4N14_08730,64,79,76,19,71,40,61,28,31,291,234,299,357,439,248,115,161,128
cds-C4N14_08735,450,567,481,319,679,385,569,332,421,2465,2083,2749,2754,3196,1997,1000,1141,949
cds-C4N14_08740,15,18,15,23,31,27,21,15,16,110,96,128,123,183,96,50,58,48
cds-C4N14_08745,63,68,74,58,81,59,92,68,62,505,395,528,433,466,326,186,215,192
cds-C4N14_08750,267,386,342,217,384,237,360,200,201,1422,1273,1579,1520,1729,1121,675,746,676
cds-C4N14_08755,383,486,379,329,547,382,534,296,354,1120,1162,1407,1106,1099,726,620,676,676
cds-C4N14_08760,70,104,77,49,105,53,94,55,62,365,232,325,252,338,208,180,154,148
cds-C4N14_08765,360,769,552,410,835,434,745,399,543,261,276,358,412,520,321,374,361,361
cds-C4N14_08770,163,211,98,94,185,69,173,99,67,122,117,124,124,236,139,120,108,76
cds-C4N14_08775,526,849,604,311,902,484,554,466,421,928,687,783,1070,1300,798,627,666,654
cds-C4N14_08780,294,360,256,142,362,171,277,157,146,1643,1162,1566,1135,1135,773,697,737,635
cds-C4N14_08785,156,207,152,104,238,92,250,101,127,640,536,678,553,613,338,302,315,265
cds-C4N14_08790,334,373,353,537,511,403,668,326,430,492,514,714,1362,1414,884,923,1034,737
cds-C4N14_08795,524,639,535,247,713,406,432,326,450,775,787,1169,1409,975,673,1210,1300,1145
cds-C4N14_08800,2284,2664,2001,1438,3176,1648,2702,1624,1939,3719,3051,4191,5647,5462,3046,3347,3201,3170
cds-C4N14_08805,301,338,296,272,356,246,467,250,275,96,125,125,236,288,177,213,173,162
cds-C4N14_08810,1489,2487,2126,1691,2790,1891,3060,1489,2796,939,1062,1436,2920,3093,1916,1691,1884,1642
cds-C4N14_08815,569,876,747,486,890,453,869,445,569,579,656,782,829,1158,697,612,614,623
cds-C4N14_08820,153,156,128,69,169,153,149,87,175,559,498,728,572,600,378,373,451,388
cds-C4N14_08825,63,103,65,26,76,39,67,40,45,727,509,596,583,511,315,266,300,225
cds-C4N14_08830,90,128,79,55,117,51,86,61,62,516,427,569,477,447,281,297,362,272
cds-C4N14_08835,95,114,68,45,110,56,115,57,53,494,388,472,358,352,259,273,327,211
cds-C4N14_08840,22,53,49,23,38,24,51,41,48,61,74,88,46,55,35,42,49,61
cds-C4N14_08845,97,122,95,92,125,83,140,70,109,186,178,202,418,392,260,156,130,120
cds-C4N14_08850,39,40,34,26,63,42,47,34,41,41,50,82,54,41,33,42,52,38
cds-C4N14_08855,646,896,731,470,915,470,828,484,517,781,638,809,1093,1266,848,620,701,617
cds-C4N14_08860,102,263,223,131,266,117,278,148,152,1888,1656,2347,1373,1534,864,906,920,966
cds-C4N14_08865,1194,2526,1835,1074,2724,972,1809,1185,1400,11490,9728,13009,9871,11047,5927,4379,4994,4623
cds-C4N14_08870,69,99,85,34,116,72,58,58,80,153,160,229,165,216,179,194,191,193
cds-C4N14_08875,48,23,18,18,22,14,39,11,19,52,48,65,140,219,109,62,99,99
cds-C4N14_08880,165,170,153,89,226,120,158,106,126,231,201,283,277,360,217,267,299,328
cds-C4N14_08885,122,604,499,302,566,364,605,379,411,141,178,202,189,574,314,163,174,216
cds-C4N14_08890,42,139,87,72,160,49,125,66,64,121,116,205,161,256,135,74,90,101
cds-C4N14_08895,149,1029,716,364,729,300,740,401,342,134,137,194,137,254,180,125,122,117
cds-C4N14_08900,68,451,412,176,400,189,331,250,151,189,150,205,233,301,199,151,178,179
cds-C4N14_08905,479,659,543,624,718,571,1003,565,689,122,223,263,272,418,216,410,360,475
cds-C4N14_08910,489,588,530,375,571,305,488,371,345,556,487,632,712,862,554,451,492,426
cds-C4N14_08915,46,53,44,23,51,20,45,25,32,171,142,212,149,138,109,92,102,71
cds-C4N14_08920,663,1050,1094,512,1206,705,1007,560,862,22984,18371,21876,12685,10029,5992,6259,6520,6798
cds-C4N14_08925,97,125,103,88,102,131,127,80,131,917,1341,2089,444,283,255,1036,1050,1093
cds-C4N14_08930,705,803,650,729,1046,627,1118,609,639,1027,846,1032,1282,1611,979,732,679,884
cds-C4N14_08935,101,126,109,97,141,116,147,91,125,173,203,298,223,243,160,231,239,282
cds-C4N14_08940,81,92,96,101,143,107,171,98,108,190,129,185,154,187,112,121,122,142
cds-C4N14_08945,92,91,78,74,150,89,162,67,106,195,124,166,205,189,82,126,112,136
cds-C4N14_08950,338,462,294,169,515,228,407,258,221,498,430,531,527,772,399,370,333,355
cds-C4N14_08955,204,304,270,143,324,140,286,133,163,963,545,815,649,504,347,672,706,447
cds-C4N14_08960,1691,2441,1860,1022,2874,976,1607,1155,653,3603,2795,3274,3021,3963,2468,1651,1717,1663
cds-C4N14_08965,559,549,425,228,563,273,448,248,307,2906,1978,2565,1451,1552,1022,793,778,690
cds-C4N14_08970,759,837,678,391,928,403,788,452,402,5728,3815,5017,2906,2994,1859,1373,1574,1031
cds-C4N14_08975,112,164,142,170,208,138,271,154,192,1515,1149,1451,500,332,175,415,386,439
