gene,H2O_30m_A,H2O_30m_B,H2O_30m_C,PNA79_30m_A,PNA79_30m_B,PNA79_30m_C,PNAscr_30m_A,PNAscr_30m_B,PNAscr_30m_C,H2O_16h_A,H2O_16h_B,H2O_16h_C,PNA79_16h_A,PNA79_16h_B,PNA79_16h_C,PNAscr_16h_A,PNAscr_16h_B,PNAscr_16h_C
cds-C4N14_05560,12.78933448,7.97921592,7.828576426,10.32761661,8.816642848,8.231410239,13.19955208,5.186838382,7.988840634,14.24803973,13.18426427,16.14537193,14.2389154,10.23316985,11.11863324,13.25693502,13.38520841,17.67122684
cds-C4N14_05565,33.91953928,49.4711387,44.0357424,38.08308627,48.66786852,51.15233506,39.9757863,48.62660983,45.8026863,30.05445881,38.00170291,33.68602292,23.10905943,27.28845294,28.72313587,38.02647152,39.4863648,49.27553638
cds-C4N14_05570,60843.86866,57898.3876,71402.97773,45316.29075,47244.86236,45664.33626,48854.5593,40880.71506,58619.98222,10992.58528,16470.50677,18039.56291,16525.31174,14838.09629,20844.34881,18377.60061,24186.73696,22389.44441
cds-C4N14_05575,71.73148472,106.5225325,91.00720095,49.70165496,86.05043419,83.49001814,50.53542797,70.67067295,58.58483132,20.25893149,16.80347407,13.75346498,10.50411792,10.99118243,12.35403693,16.74560214,16.3968803,17.33139556
cds-C4N14_05580,44.48464168,52.66282507,45.50360048,30.33737381,50.43119709,45.86071419,33.56457529,29.8243207,48.46563318,14.02541411,13.44277926,13.75346498,7.469594966,5.874597508,6.177018466,5.93073409,12.71594799,11.5542637
cds-C4N14_05585,224.6474405,207.0606531,210.3929915,234.953278,230.2907112,237.5349812,189.3192899,193.2097297,208.7750352,52.09439526,48.85933231,52.62195296,33.14632766,32.40503787,29.34083772,59.65620761,63.24510972,64.90777551
cds-C4N14_05590,324.1818263,276.4798316,249.0465876,218.816377,320.9257997,223.4239922,256.4484404,247.6715327,249.2518278,217.7278571,241.9700267,260.9171834,247.8971829,326.7034227,282.9074458,311.8868398,279.0815953,291.2354116
cds-C4N14_05595,164.0371162,138.0404354,154.6143844,94.23950161,143.8876113,94.07325987,101.0708559,102.440058,70.83438696,361.0987569,305.5647132,293.805904,244.1623854,203.7158813,204.1504603,205.8313596,228.8870638,199.1411332
cds-C4N14_05600,829.6385674,859.7605154,834.7219614,659.0310352,830.5277563,706.1374069,706.3646014,752.7399202,647.6286808,626.9137481,563.304154,539.773669,934.1662204,982.5738091,994.4999731,748.3190954,723.8051446,753.4059597
cds-C4N14_05605,3795.095994,3865.531152,4032.695432,4280.797087,3995.349873,4785.389138,4513.492552,4274.603181,6507.709581,1203.959357,1994.443115,2033.718887,1252.324281,1262.469955,1207.60711,2100.177601,2307.275299,2356.729964
cds-C4N14_05610,222.4232084,160.7812008,199.1394128,247.8627988,206.3094426,261.0532961,225.1466455,221.088986,230.0786103,175.2063636,181.99455,156.4705798,229.2231955,204.2843908,211.2540316,161.1764206,171.999928,223.2691545
cds-C4N14_05615,15.01356657,8.378176716,13.21072272,9.036664538,8.11131142,8.231410239,9.428251487,4.538483584,9.054019386,9.127650452,7.496934587,8.172348755,11.20439245,4.927081781,9.2655277,10.46600133,12.71594799,11.21443242
cds-C4N14_05620,102.8707339,82.18592398,69.96790181,79.39355273,82.87644277,73.49473428,64.11211011,66.78054417,68.17144008,180.9946297,174.2391004,157.2678821,99.90583267,112.5648684,118.9076055,108.1486805,101.7275839,100.9298918
cds-C4N14_05625,97.8662117,67.82333532,55.77860704,49.05617892,75.47046278,58.20782955,56.19237886,65.48383457,33.55313066,261.5851044,194.6617843,180.5889749,129.7842125,158.2351264,156.2785672,102.9156798,97.71202137,100.2502292
cds-C4N14_05630,64.50273044,67.82333532,63.60718346,61.32022365,66.30115422,49.97641931,58.45515922,68.07725376,64.97590383,83.03935655,80.91519054,74.94641785,103.4072053,120.7135036,118.2899036,75.0063429,78.30346918,80.54001464
cds-C4N14_05635,147.3553756,108.1183757,113.5143582,206.5523323,98.04106847,169.9198256,186.6793794,164.0337638,177.3522621,50.09076468,51.18596718,57.60509245,102.2400811,78.45430221,68.25605405,85.12347752,76.96494834,80.20018335
cds-C4N14_05640,18.90597272,17.55427502,21.03929915,10.32761661,9.521974276,10.58324174,10.93677172,12.96709595,12.78214501,15.80641908,14.73535419,14.35144172,21.70851037,19.13981769,14.20714247,15.35013529,17.73540114,21.74920227
cds-C4N14_05645,1.112116042,4.388568756,4.892860266,6.454760384,7.053314278,4.115705119,3.771300595,3.241773989,0,3.116758691,3.360694815,4.185837167,4.201647168,3.979566054,4.63276385,3.488667112,7.361864624,2.718650283
cds-C4N14_05650,47.82098981,35.10855005,45.9928865,39.37403834,38.44056282,58.20782955,53.17533839,49.27496463,50.06340131,30.05445881,28.43664843,30.29748807,33.84660219,42.44870458,39.22406726,33.84007098,40.15562522,41.11958553
